c MST generated by Kruskal's Algorithm using Quick Sort
g 100000 99999
e 87596 95269 1
e 47687 69524 1
e 67952 95956 2
e 20509 60727 2
e 88462 96766 2
e 35571 98435 2
e 29180 93877 3
e 54579 84006 3
e 4999 29123 3
e 12825 73899 3
e 68541 69319 3
e 43608 75214 3
e 50767 66264 3
e 2690 88596 3
e 11467 53856 3
e 1071 37387 3
e 80985 84129 3
e 23487 98708 3
e 61785 86881 3
e 20253 30299 3
e 11973 58875 3
e 763 11537 4
e 26484 69691 4
e 74411 87737 4
e 48002 92798 4
e 76819 83703 4
e 1609 42546 4
e 65152 76737 4
e 55435 95232 4
e 32670 35058 4
e 52280 59750 4
e 552 8408 4
e 31816 95196 4
e 17601 73326 4
e 51188 96127 4
e 3584 57413 4
e 20336 57379 4
e 88026 94557 4
e 34852 57953 4
e 44722 96968 4
e 30043 77888 4
e 30289 48928 5
e 6711 94329 5
e 60566 85577 5
e 32483 85605 5
e 12255 48698 5
e 62477 89306 5
e 48578 77786 5
e 67761 73701 5
e 58003 59082 5
e 61869 83131 5
e 20241 34249 5
e 74586 75120 5
e 5658 44444 5
e 7030 17411 5
e 5132 81608 5
e 45963 88874 5
e 53407 95311 6
e 2327 40084 6
e 12715 82500 6
e 31780 35784 6
e 45697 51166 6
e 1988 64355 6
e 15055 37848 6
e 28069 45896 6
e 31779 98476 6
e 52708 66787 6
e 25040 98067 6
e 85417 88662 6
e 8248 82926 6
e 8749 48673 6
e 38533 96255 7
e 78116 98423 7
e 12349 84298 7
e 13697 40789 7
e 76450 82528 7
e 36973 95816 7
e 4984 19806 7
e 48971 66648 7
e 44013 58580 7
e 51428 69478 7
e 9476 18633 7
e 39981 41608 7
e 61678 65488 7
e 49999 56500 7
e 46639 64883 7
e 59158 78079 7
e 64795 95089 7
e 39023 63416 7
e 39777 55019 7
e 28241 97144 7
e 55762 65908 7
e 8936 89617 7
e 12184 24271 7
e 47757 71688 7
e 1962 34579 7
e 5140 74223 7
e 33934 77857 7
e 8757 14853 7
e 90905 95067 7
e 31191 66283 8
e 45505 80176 8
e 16532 77708 8
e 13416 49846 8
e 30086 96534 8
e 49743 87217 8
e 30976 48520 8
e 23994 62878 8
e 63091 74877 8
e 74621 96147 8
e 7437 64985 8
e 42215 75886 8
e 38222 75508 8
e 42364 88279 8
e 35667 60745 8
e 21525 54030 8
e 46891 93422 8
e 37864 52625 8
e 19178 59932 8
e 5123 36976 8
e 11784 13690 8
e 27717 88957 8
e 80271 86433 8
e 2788 4285 8
e 45973 88972 8
e 14063 60462 8
e 6574 99158 8
e 48195 87588 9
e 50982 82979 9
e 1696 87106 9
e 43087 99492 9
e 25646 74980 9
e 81459 96762 9
e 64303 70110 9
e 4950 72892 9
e 18781 36966 9
e 21598 55323 9
e 39606 63481 9
e 75502 94408 9
e 54916 98378 9
e 7331 89297 9
e 26526 48740 9
e 37384 90073 9
e 35594 83255 9
e 21977 58749 9
e 58729 90668 9
e 43812 73182 9
e 48952 82785 9
e 17722 92293 9
e 46356 67093 9
e 30904 69004 9
e 97387 98030 9
e 11016 23814 9
e 55550 73729 9
e 86255 90813 9
e 29378 82858 9
e 30799 63792 10
e 38251 76376 10
e 3282 3918 10
e 11687 73396 10
e 1183 42866 10
e 47237 90312 10
e 31538 70754 10
e 33529 41529 10
e 30827 61830 10
e 11982 12637 10
e 20345 84199 10
e 57108 78445 10
e 13370 57599 10
e 89309 90769 10
e 14333 38266 10
e 57084 61222 10
e 7075 56580 10
e 462 81883 10
e 61158 84274 10
e 23242 79800 10
e 13682 68601 10
e 45118 91697 10
e 9481 79711 10
e 45808 67702 10
e 55873 63697 10
e 8992 87081 10
e 1041 83494 10
e 67117 93900 10
e 23851 72953 10
e 70084 85780 10
e 72838 74682 11
e 41491 48895 11
e 644 49486 11
e 37574 65498 11
e 5846 8917 11
e 33638 91186 11
e 84243 94107 11
e 31075 89698 11
e 53555 67601 11
e 17721 58013 11
e 72251 75454 11
e 62361 83209 11
e 38299 45718 11
e 52680 92349 11
e 57548 95750 11
e 42368 80958 11
e 37350 68562 11
e 42107 59217 11
e 36867 74890 11
e 27731 82512 11
e 40031 65965 11
e 27406 30463 11
e 49288 83256 11
e 2162 60465 11
e 42877 83446 11
e 4205 94368 11
e 67054 74710 11
e 3850 21639 11
e 37775 53192 11
e 59798 95761 11
e 43163 57053 11
e 2085 58853 11
e 7524 64352 11
e 10528 59383 11
e 16021 70038 11
e 17178 94547 11
e 50722 51796 11
e 24474 44681 11
e 63012 93178 11
e 4688 91390 11
e 17686 80400 12
e 8853 64570 12
e 39366 77230 12
e 24039 41257 12
e 35809 53240 12
e 2949 44715 12
e 25887 44745 12
e 13643 27069 12
e 49866 72361 12
e 48899 72341 12
e 5325 55764 12
e 64299 64400 12
e 53342 74942 12
e 5077 52556 12
e 41399 92455 12
e 25733 79327 12
e 14714 62785 12
e 17640 78673 12
e 79282 90305 12
e 80669 92502 12
e 677 10811 12
e 20936 28308 12
e 31297 67004 12
e 2298 64172 12
e 51616 59198 12
e 46152 76195 12
e 35614 52864 12
e 45099 64988 12
e 94031 94758 12
e 55134 70679 12
e 4350 6707 12
e 10259 74001 12
e 50883 90476 12
e 30553 95983 12
e 4331 83206 13
e 34182 58433 13
e 79965 80151 13
e 79931 88128 13
e 2878 51055 13
e 31292 36692 13
e 25018 89845 13
e 64189 95370 13
e 5222 51488 13
e 15835 43576 13
e 9644 58762 13
e 52990 94436 13
e 28594 41768 13
e 15346 87038 13
e 17643 63761 13
e 15006 28742 13
e 33123 71622 13
e 62072 72859 13
e 8653 60112 13
e 21944 63932 13
e 6290 79842 13
e 37606 65171 13
e 4321 48902 13
e 24358 63901 13
e 63672 91467 13
e 61098 75956 13
e 44241 80464 13
e 6617 76368 13
e 36340 42203 13
e 13076 29722 13
e 10465 86846 13
e 12712 70567 13
e 46989 54915 13
e 7420 42510 13
e 19390 74762 13
e 25617 27633 13
e 22765 58425 13
e 40546 83507 13
e 10762 71438 13
e 39153 42982 13
e 50659 55150 13
e 22230 54520 13
e 5773 87639 13
e 54110 80632 14
e 36376 73926 14
e 7199 82144 14
e 29229 87415 14
e 47607 50973 14
e 44399 96216 14
e 21392 48407 14
e 541 85956 14
e 59635 64643 14
e 6917 35126 14
e 35510 52677 14
e 11795 73896 14
e 28112 60315 14
e 22896 34724 14
e 43074 80303 14
e 50071 89110 14
e 36218 97802 14
e 33000 85642 14
e 57124 59515 14
e 11264 99343 14
e 43770 81965 14
e 4138 62839 14
e 40862 86991 14
e 48535 49636 14
e 57148 73731 14
e 49823 82051 14
e 13550 43486 14
e 554 85691 14
e 21037 49410 14
e 9123 76318 14
e 76808 94506 14
e 17791 34367 14
e 60367 93967 14
e 11167 43650 14
e 401 78561 14
e 34297 82319 14
e 35646 75823 14
e 26064 85104 14
e 4544 40700 14
e 88241 89206 14
e 9050 96862 14
e 23046 30804 14
e 31253 74250 14
e 70183 78469 14
e 45370 93504 14
e 7195 43744 14
e 3774 69988 14
e 94474 99623 14
e 74952 89535 15
e 15234 66865 15
e 81571 99464 15
e 60410 70461 15
e 27458 64775 15
e 4641 42797 15
e 10299 73212 15
e 33112 72731 15
e 33076 58821 15
e 62745 65859 15
e 40218 65797 15
e 15550 97666 15
e 56796 87746 15
e 8754 47783 15
e 75013 90876 15
e 20328 94598 15
e 16251 66049 15
e 6939 65669 15
e 25876 63096 15
e 8300 68512 15
e 39676 52639 15
e 74716 90799 15
e 172 9519 15
e 4761 54833 15
e 45079 69434 15
e 49358 58569 15
e 695 95913 15
e 3385 80462 15
e 71730 98040 15
e 86545 97274 15
e 65867 97612 15
e 19790 85752 15
e 19773 28967 15
e 14558 49685 15
e 60916 65941 15
e 616 28393 15
e 71946 88857 15
e 18291 81797 15
e 14720 45078 15
e 52348 62877 15
e 10530 42515 15
e 25545 88526 15
e 7929 79607 15
e 20607 72936 15
e 13222 38957 15
e 2600 18616 15
e 67053 68982 15
e 7616 7899 15
e 17675 89235 15
e 11932 14202 15
e 20543 50692 15
