c MST generated by Kruskal's Algorithm using Quick Sort
g 100000 99999
e 20509 60727 1
e 88462 96766 1
e 67952 95956 1
e 87596 95269 1
e 47687 69524 1
e 11973 58875 2
e 4999 29123 2
e 51188 96127 2
e 12825 73899 2
e 29180 93877 2
e 76819 83703 2
e 2690 88596 2
e 68541 69319 2
e 11467 53856 2
e 74411 87737 2
e 1071 37387 2
e 20253 30299 2
e 80985 84129 2
e 35571 98435 2
e 3584 57413 2
e 54579 84006 2
e 23487 98708 2
e 50767 66264 2
e 43608 75214 2
e 61785 86881 2
e 26484 69691 3
e 61869 83131 3
e 30043 77888 3
e 20336 57379 3
e 88026 94557 3
e 6711 94329 3
e 65152 76737 3
e 52280 59750 3
e 20241 34249 3
e 31816 95196 3
e 34852 57953 3
e 48002 92798 3
e 55435 95232 3
e 1609 42546 3
e 17601 73326 3
e 67761 73701 3
e 32670 35058 3
e 763 11537 3
e 62477 89306 3
e 60566 85577 3
e 58003 59082 3
e 74586 75120 3
e 552 8408 3
e 5658 44444 3
e 32483 85605 3
e 44722 96968 3
e 28069 45896 4
e 8749 48673 4
e 12255 48698 4
e 25040 98067 4
e 2327 40084 4
e 85417 88662 4
e 45963 88874 4
e 30289 48928 4
e 15055 37848 4
e 45697 51166 4
e 5132 81608 4
e 8248 82926 4
e 48971 66648 4
e 48578 77786 4
e 53407 95311 4
e 31780 35784 4
e 31779 98476 4
e 52708 66787 4
e 12715 82500 4
e 1988 64355 4
e 7030 17411 4
e 16532 77708 5
e 45505 80176 5
e 8936 89617 5
e 55762 65908 5
e 39023 63416 5
e 47757 71688 5
e 49999 56500 5
e 5140 74223 5
e 12184 24271 5
e 46891 93422 5
e 33934 77857 5
e 61678 65488 5
e 37864 52625 5
e 1962 34579 5
e 44013 58580 5
e 78116 98423 5
e 4984 19806 5
e 64795 95089 5
e 39981 41608 5
e 38533 96255 5
e 49743 87217 5
e 39777 55019 5
e 9476 18633 5
e 14063 60462 5
e 46639 64883 5
e 90905 95067 5
e 28241 97144 5
e 63091 74877 5
e 42364 88279 5
e 23994 62878 5
e 12349 84298 5
e 13697 40789 5
e 45973 88972 5
e 51428 69478 5
e 8757 14853 5
e 42215 75886 5
e 36973 95816 5
e 76450 82528 5
e 59158 78079 5
e 26526 48740 6
e 50982 82979 6
e 75502 94408 6
e 21525 54030 6
e 11784 13690 6
e 30086 96534 6
e 2788 4285 6
e 7437 64985 6
e 80271 86433 6
e 30976 48520 6
e 1696 87106 6
e 13416 49846 6
e 18781 36966 6
e 21598 55323 6
e 43087 99492 6
e 39606 63481 6
e 74621 96147 6
e 29378 82858 6
e 11016 23814 6
e 55550 73729 6
e 58729 90668 6
e 64303 70110 6
e 30904 69004 6
e 19178 59932 6
e 46356 67093 6
e 31191 66283 6
e 25646 74980 6
e 86255 90813 6
e 38222 75508 6
e 54916 98378 6
e 5123 36976 6
e 97387 98030 6
e 81459 96762 6
e 43812 73182 6
e 21977 58749 6
e 27717 88957 6
e 48195 87588 6
e 4950 72892 6
e 6574 99158 6
e 17722 92293 6
e 35667 60745 6
e 50722 51796 7
e 57108 78445 7
e 33638 91186 7
e 45808 67702 7
e 7075 56580 7
e 8992 87081 7
e 20345 84199 7
e 1183 42866 7
e 16021 70038 7
e 35594 83255 7
e 30827 61830 7
e 30799 63792 7
e 11687 73396 7
e 57084 61222 7
e 5846 8917 7
e 40031 65965 7
e 38251 76376 7
e 37350 68562 7
e 9481 79711 7
e 42368 80958 7
e 1041 83494 7
e 462 81883 7
e 13682 68601 7
e 89309 90769 7
e 37384 90073 7
e 61158 84274 7
e 7331 89297 7
e 3282 3918 7
e 70084 85780 7
e 33529 41529 7
e 23851 72953 7
e 644 49486 7
e 45118 91697 7
e 48952 82785 7
e 47237 90312 7
e 72838 74682 7
e 57548 95750 7
e 62361 83209 7
e 11982 12637 7
e 67117 93900 7
e 31538 70754 7
e 23242 79800 7
e 36867 74890 7
e 14333 38266 7
e 55873 63697 7
e 13370 57599 7
e 4350 6707 8
e 31075 89698 8
e 67054 74710 8
e 84243 94107 8
e 64299 64400 8
e 43163 57053 8
e 2085 58853 8
e 10259 74001 8
e 7524 64352 8
e 52680 92349 8
e 24039 41257 8
e 17178 94547 8
e 3850 21639 8
e 27731 82512 8
e 10528 59383 8
e 63012 93178 8
e 677 10811 8
e 72251 75454 8
e 27406 30463 8
e 42107 59217 8
e 37574 65498 8
e 59798 95761 8
e 38299 45718 8
e 17721 58013 8
e 30553 95983 8
e 2162 60465 8
e 39366 77230 8
e 42877 83446 8
e 49288 83256 8
e 48899 72341 8
e 2949 44715 8
e 31297 67004 8
e 8853 64570 8
e 35614 52864 8
e 25733 79327 8
e 80669 92502 8
e 45099 64988 8
e 41491 48895 8
e 94031 94758 8
e 5325 55764 8
e 4688 91390 8
e 17686 80400 8
e 14714 62785 8
e 37775 53192 8
e 5077 52556 8
e 4205 94368 8
e 24474 44681 8
e 53555 67601 8
e 51616 59198 8
e 53342 74942 8
e 50883 90476 8
e 61098 75956 9
e 6290 79842 9
e 2878 51055 9
e 25617 27633 9
e 40546 83507 9
e 79282 90305 9
e 28594 41768 9
e 79965 80151 9
e 15346 87038 9
e 15006 28742 9
e 24358 63901 9
e 34182 58433 9
e 25018 89845 9
e 4321 48902 9
e 17643 63761 9
e 2298 64172 9
e 12712 70567 9
e 41399 92455 9
e 79931 88128 9
e 21944 63932 9
e 33123 71622 9
e 8653 60112 9
e 7420 42510 9
e 35809 53240 9
e 50659 55150 9
e 31292 36692 9
e 25887 44745 9
e 55134 70679 9
e 22765 58425 9
e 44241 80464 9
e 17640 78673 9
e 20936 28308 9
e 52990 94436 9
e 4331 83206 9
e 63672 91467 9
e 5222 51488 9
e 36340 42203 9
e 62072 72859 9
e 64189 95370 9
e 49866 72361 9
e 13643 27069 9
e 10762 71438 9
e 46152 76195 9
e 39153 42982 9
e 9644 58762 9
e 15835 43576 9
e 17791 34367 9
e 37606 65171 9
e 5773 87639 9
e 19390 74762 9
e 13076 29722 9
e 6617 76368 9
e 22230 54520 9
e 10465 86846 9
e 46989 54915 9
e 47607 50973 10
e 36376 73926 10
e 60916 65941 10
e 8754 47783 10
e 26064 85104 10
e 11795 73896 10
e 75013 90876 10
e 6917 35126 10
e 50071 89110 10
e 14720 45078 10
e 45079 69434 10
e 81571 99464 10
e 19773 28967 10
e 3774 69988 10
e 11264 99343 10
e 44399 96216 10
e 40218 65797 10
e 7929 79607 10
e 4138 62839 10
e 35646 75823 10
e 56796 87746 10
e 554 85691 10
e 10530 42515 10
e 21037 49410 10
e 2600 18616 10
e 36218 97802 10
e 21392 48407 10
e 94474 99623 10
e 11932 14202 10
e 76808 94506 10
e 9123 76318 10
e 6939 65669 10
e 17675 89235 10
e 60367 93967 10
e 71730 98040 10
e 67053 68982 10
e 18291 81797 10
e 43074 80303 10
e 28112 60315 10
e 33076 58821 10
e 57148 73731 10
e 695 95913 10
e 20607 72936 10
e 54110 80632 10
e 88241 89206 10
e 74716 90799 10
e 34297 82319 10
e 7195 43744 10
e 70183 78469 10
e 9050 96862 10
e 4544 40700 10
e 541 85956 10
e 13550 43486 10
e 401 78561 10
e 35510 52677 10
e 48535 49636 10
e 11167 43650 10
e 33000 85642 10
e 616 28393 10
e 19790 85752 10
e 49823 82051 10
e 22896 34724 10
e 7199 82144 10
e 13222 38957 10
e 49358 58569 10
e 4761 54833 10
e 29229 87415 10
e 45370 93504 10
e 57124 59515 10
e 25876 63096 10
e 23046 30804 10
e 40862 86991 10
e 43770 81965 10
e 10299 73212 10
e 31253 74250 10
e 59635 64643 10
e 26109 61602 11
e 3385 80462 11
e 39676 52639 11
e 8547 99420 11
e 65867 97612 11
e 172 9519 11
e 7616 7899 11
e 16251 66049 11
e 94988 98043 11
e 74952 89535 11
e 36106 68070 11
e 58890 60713 11
e 22535 87109 11
e 49692 89170 11
e 21897 35676 11
e 277 12308 11
e 57452 60459 11
e 20659 96430 11
e 8300 68512 11
e 10061 79361 11
e 60410 70461 11
e 38373 77965 11
e 4641 42797 11
e 78277 90300 11
e 61495 82311 11
e 21861 50749 11
e 25545 88526 11
e 29962 32209 11
e 64342 67770 11
e 34161 76002 11
e 1736 10457 11
e 40285 82997 11
e 16872 61652 11
e 27458 64775 11
e 15631 76650 11
e 33513 40506 11
e 52348 62877 11
e 12375 58715 11
e 19797 21262 11
e 69190 72646 11
e 29230 74877 11
e 14558 49685 11
e 30887 56284 11
e 16932 34699 11
e 30544 41031 11
e 15550 97666 11
e 62745 65859 11
e 20543 50692 11
e 15234 66865 11
e 51518 58865 11
e 34704 78440 11
e 9692 31556 11
e 27951 85835 11
e 33112 72731 11
e 86545 97274 11
e 31309 96494 11
e 50085 97436 11
e 47796 51942 11
e 61515 91889 11
e 71946 88857 11
e 61982 78762 11
e 14910 63127 11
e 53162 79253 11
e 3508 5743 11
e 96615 99079 11
e 20328 94598 11
e 8917 52654 11
e 32361 80090 11
e 35997 48875 11
e 17846 79299 11
e 27886 34796 11
e 25684 26091 11
e 23043 55540 12
e 62097 92500 12
e 92372 96620 12
e 11224 81838 12
e 18490 90602 12
e 1430 37571 12
e 34857 66151 12
e 58867 82907 12
e 12115 15609 12
e 44586 64413 12
e 8692 39239 12
e 72262 90829 12
e 30797 69844 12
e 32495 57221 12
e 38715 49267 12
e 58323 80822 12
e 37224 92337 12
e 18564 33369 12
e 33819 67478 12
e 14686 45154 12
e 7485 27290 12
e 20999 98717 12
e 29062 31632 12
e 4053 71310 12
e 14594 33107 12
