c MST generated by Kruskal's Algorithm using Quick Sort
g 40000 39999
e 18147 20882 1
e 15625 39140 1
e 1645 39288 1
e 7403 31652 1
e 5076 33596 1
e 18741 32886 1
e 1963 19676 1
e 23572 25141 1
e 14901 38529 1
e 8857 14812 1
e 22318 25423 1
e 31596 32921 1
e 4492 27146 1
e 10846 21576 2
e 13199 21884 2
e 22262 25703 3
e 18722 19475 3
e 2928 19183 3
e 33094 37623 3
e 15712 26995 3
e 4242 14806 4
e 23057 32845 4
e 4964 8493 4
e 442 29057 4
e 3678 34639 5
e 22901 34882 5
e 8366 20335 5
e 16211 36466 5
e 20242 29562 5
e 8435 16748 5
e 2705 38921 6
e 1030 37657 6
e 13687 38113 6
e 8536 23287 6
e 4767 8314 6
e 18438 39261 6
e 5404 13373 7
e 7621 10822 7
e 2031 35634 7
e 8254 16221 7
e 10524 16427 7
e 16067 30098 8
e 8278 35027 8
e 32167 37601 8
e 5111 31346 8
e 15060 37407 9
e 5307 16207 9
e 3754 9124 9
e 12843 12973 9
e 3607 6804 9
e 17606 29344 9
e 9062 20929 10
e 18436 25746 10
e 1345 14283 11
e 21205 34579 11
e 2085 17978 11
e 12098 23840 11
e 660 12848 11
e 3949 6013 11
e 4824 22744 11
e 15379 33143 11
e 25362 31197 11
e 1603 13460 12
e 28799 34608 12
e 7442 24211 12
e 9283 29843 12
e 13534 38360 12
e 10890 11633 13
e 1321 27631 13
e 3508 12515 13
e 11473 31384 14
e 5743 31141 14
e 430 1280 14
e 8237 27321 14
e 21226 26135 14
e 19578 24292 14
e 19924 35985 14
e 1668 19896 14
e 12145 37241 15
e 26355 33786 15
e 24328 35612 15
e 30888 37160 15
e 19478 21410 15
e 9429 20533 16
e 18019 29753 16
e 17685 21047 16
e 21494 36363 16
e 27255 36979 16
e 24667 24896 17
e 165 3236 17
e 23254 32585 17
e 31644 38297 17
e 9340 17726 17
e 176 6259 18
e 24804 38737 18
e 15024 17795 18
e 2694 4946 18
e 27608 34271 19
e 15457 37894 19
e 27452 29654 19
e 2849 6094 19
e 37949 38172 19
e 12901 25596 20
e 26830 36268 20
e 6866 30955 20
e 3858 27720 20
e 31782 37098 20
e 3663 37138 20
e 5612 12961 20
e 31852 32603 20
e 14301 22735 20
e 12085 15934 21
e 12178 12569 21
e 5820 10075 22
e 19262 28050 22
e 22832 39927 22
